id,collected_date,keyword,category,trend_score
1,20260819,silk beverage listeria settlement,beverage,24250
2,20260819,popular beverage brand nyt,beverage,7200
3,20260819,rapid kl train food beverage policy,beverage,4550
4,20260819,mcdonald's beverage station removal,beverage,1850
5,20260819,costco key lime dessert cups,dessert,8800
6,20260819,new nothing bundt cakes dessert,dessert,4850
7,20260819,portillo's dr pepper dessert,dessert,4250
8,20260819,david protein frozen dessert pints,dessert,3200
9,20260819,publix tiktok dessert trend,dessert,2600
10,20260819,am i ight if i drink evil water,drink,1700
11,20260819,unicorn drink starbucks,drink,1050
12,20260819,cardiologist energy drink warning,drink,1050
13,20260819,mcdonalds redbull drink,drink,500
14,20260819,a and w energy drink launch,drink,300
15,20260819,uk fast food in america,fast food,600
16,20260819,fast food restuarants,fast food,350
17,20260819,wellhealthorganic organic food benefits,organic food,4950
18,20260819,where to buy organic food,organic food,1000
19,20260819,organic food delivery,organic food,300
20,20260819,prince louis favorite snack,snack,13700
21,20260819,cheez-it coors light snack,snack,7950
22,20260819,shake up your snack routine,snack,4650
23,20260819,sam's club new snack releases,snack,2350
24,20260819,new spicy cheetos snack flavor,snack,2000
25,20260820,silk beverage listeria settlement,beverage,23900
26,20260820,popular beverage brand nyt,beverage,7100
27,20260820,rapid kl train food beverage policy,beverage,4650
28,20260820,mcdonald's beverage station removal,beverage,4150
29,20260820,portillo's dr pepper dessert,dessert,4300
30,20260820,magnum fruit dessert,dessert,1200
31,20260820,makkee dessert,dessert,500
32,20260820,sommer dessert,dessert,500
33,20260820,reese's dessert at culver's,dessert,450
34,20260820,cardiologist energy drink warning,drink,1100
35,20260820,limerick drink,drink,500
36,20260820,big a fast food conspiracy,fast food,5250
37,20260820,big chicken a fast food conspiracy,fast food,4550
38,20260820,big chicken a fast food conspiracy netflix,fast food,1900
39,20260820,fast food discount effectiveness,fast food,750
40,20260820,wellhealthorganic organic food benefits,organic food,1200
41,20260820,where to buy organic food,organic food,1050
42,20260820,trader joe spicy chocolate snack,snack,2050
43,20260820,new spicy cheetos snack flavor,snack,2050
44,20260820,which popular snack was invented by italian monks?,snack,700
45,20260821,silk beverage listeria settlement,beverage,24150
46,20260821,popular beverage brand nyt,beverage,7150
47,20260821,rapid kl train food beverage policy,beverage,2150
48,20260821,mcdonald's beverage station removal,beverage,1350
49,20260821,portillo's dr pepper dessert,dessert,4300
50,20260821,costco key lime dessert cups,dessert,3800
51,20260821,david protein frozen dessert pints,dessert,3200
52,20260821,new nothing bundt cakes dessert,dessert,3050
53,20260821,publix tiktok dessert trend,dessert,2800
54,20260821,cardiologist energy drink warning,drink,1000
55,20260821,limerick drink,drink,500
56,20260821,uk fast food in america,fast food,650
57,20260821,fast food restuarants,fast food,350
58,20260821,where to buy organic food,organic food,1050
59,20260821,wellhealthorganic organic food benefits,organic food,850
60,20260821,prince louis favorite snack,snack,13750
61,20260821,cheez-it coors light snack,snack,8000
62,20260821,shake up your snack routine,snack,4550
63,20260821,new spicy cheetos snack flavor,snack,3150
64,20260821,hershey's marinela snack cakes,snack,2600
65,20260822,rapid kl train food beverage policy,beverage,4700
66,20260822,hot french beverage nyt,beverage,3250
67,20260822,monster beverage aktiensplit,beverage,2600
68,20260822,dunkin iced beverage buckets,beverage,450
69,20260822,manpuku-shop.com food and beverage industry trends,beverage,300
70,20260822,portillo's dr pepper dessert,dessert,2300
71,20260822,magnum fruit dessert,dessert,1050
72,20260822,dessert time doncaster,dessert,700
73,20260822,makkee dessert,dessert,600
74,20260822,reese's dessert at culver's,dessert,400
75,20260822,am i ight if i drink evil water,drink,1500
76,20260822,starbucks unicorn drink,drink,1250
77,20260822,cardiologist energy drink warning,drink,950
78,20260822,mcdonalds redbull drink,drink,650
79,20260822,a and w energy drink launch,drink,350
80,20260822,big chicken a fast food conspiracy,fast food,4300
81,20260822,big a fast food conspiracy,fast food,2950
82,20260822,big chicken a fast food conspiracy netflix,fast food,1100
83,20260822,fast food discount effectiveness,fast food,750
84,20260822,where to buy organic food,organic food,1050
85,20260822,avocado organic food львів,organic food,900
86,20260822,wellhealthorganic organic food benefits,organic food,600
87,20260822,organic food delivery,organic food,300
88,20260822,new spicy cheetos snack flavor,snack,2150
89,20260822,trader joe spicy chocolate snack,snack,2100
90,20260822,little debbie new snack release,snack,1800
91,20260822,which popular snack was invented by italian monks?,snack,450
92,20260824,silk beverage listeria settlement,beverage,24200
93,20260824,popular beverage brand nyt,beverage,7300
94,20260824,rapid kl train food beverage policy,beverage,4750
95,20260824,mcdonald's beverage station removal,beverage,4350
96,20260824,monster beverage aktie,beverage,350
97,20260824,portillo's dr pepper dessert,dessert,4350
98,20260824,magnum fruit dessert,dessert,950
99,20260824,makkee dessert,dessert,500
100,20260824,cardiologist energy drink warning,drink,850
101,20260824,limerick drink,drink,500
102,20260824,uk fast food in america,fast food,600
103,20260824,fast food restuarants,fast food,300
104,20260824,wellhealthorganic organic food benefits,organic food,1600
105,20260824,where to buy organic food,organic food,1050
106,20260824,organic food delivery,organic food,300
107,20260824,prince louis favorite snack,snack,14000
108,20260824,cheez-it coors light snack,snack,8200
109,20260824,aldi game day snack container,snack,6850
110,20260824,little debbie new snack release,snack,6600
111,20260824,shake up your snack routine,snack,6500
112,20260826,silk beverage listeria settlement,beverage,12400
113,20260826,popular beverage brand nyt,beverage,3500
114,20260826,monster beverage aktiensplit,beverage,2850
115,20260826,rapid kl train food beverage policy,beverage,1350
116,20260826,monster beverage aktie,beverage,450
117,20260826,costco key lime dessert cups,dessert,8850
118,20260826,publix tiktok dessert trend,dessert,2700
119,20260826,portillo's dr pepper dessert,dessert,2400
120,20260826,new nothing bundt cakes dessert,dessert,2350
121,20260826,david protein frozen dessert pints,dessert,2250
122,20260826,unicorn starbucks drink,drink,1250
123,20260826,am i ight if i drink evil water,drink,1100
124,20260826,cardiologist energy drink warning,drink,950
125,20260826,mcdonalds redbull drink,drink,800
126,20260826,uk fast food in america,fast food,550
127,20260826,fast food restuarants,fast food,300
128,20260826,where to buy organic food,organic food,1200
129,20260826,wellhealthorganic organic food benefits,organic food,950
130,20260826,organic food delivery,organic food,300
131,20260826,aldi game day snack container,snack,17350
132,20260826,cheez-it coors light snack,snack,8000
133,20260826,little debbie new snack release,snack,6700
134,20260826,shake up your snack routine,snack,6400
135,20260826,prince louis favorite snack,snack,5950
136,20260828,silk beverage listeria settlement,beverage,24850
137,20260828,popular beverage brand nyt,beverage,7200
138,20260828,rapid kl train food beverage policy,beverage,4550
