week,category,interest_score
2021-09-05,beverage,37
2021-09-12,beverage,35
2021-09-19,beverage,36
2021-09-26,beverage,33
2021-10-03,beverage,32
2021-10-10,beverage,31
2021-10-17,beverage,31
2021-10-24,beverage,33
2021-10-31,beverage,32
2021-11-07,beverage,33
2021-11-14,beverage,35
2021-11-21,beverage,37
2021-11-28,beverage,34
2021-12-05,beverage,34
2021-12-12,beverage,35
2021-12-19,beverage,40
2021-12-26,beverage,31
2022-01-02,beverage,29
2022-01-09,beverage,31
2022-01-16,beverage,29
2022-01-23,beverage,32
2022-01-30,beverage,38
2022-02-06,beverage,36
2022-02-13,beverage,36
2022-02-20,beverage,37
2022-02-27,beverage,34
2022-03-06,beverage,38
2022-03-13,beverage,35
2022-03-20,beverage,38
2022-03-27,beverage,37
2022-04-03,beverage,37
2022-04-10,beverage,38
2022-04-17,beverage,38
2022-04-24,beverage,38
2022-05-01,beverage,40
2022-05-08,beverage,39
2022-05-15,beverage,40
2022-05-22,beverage,40
2022-05-29,beverage,41
2022-06-05,beverage,38
2022-06-12,beverage,40
2022-06-19,beverage,42
2022-06-26,beverage,43
2022-07-03,beverage,43
2022-07-10,beverage,42
2022-07-17,beverage,41
2022-07-24,beverage,39
2022-07-31,beverage,39
2022-08-07,beverage,40
2022-08-14,beverage,41
2022-08-21,beverage,37
2022-08-28,beverage,39
2022-09-04,beverage,37
2022-09-11,beverage,37
2022-09-18,beverage,35
2022-09-25,beverage,33
2022-10-02,beverage,35
2022-10-09,beverage,34
2022-10-16,beverage,34
2022-10-23,beverage,35
2022-10-30,beverage,36
2022-11-06,beverage,35
2022-11-13,beverage,35
2022-11-20,beverage,37
2022-11-27,beverage,33
2022-12-04,beverage,36
2022-12-11,beverage,37
2022-12-18,beverage,38
2022-12-25,beverage,35
2023-01-01,beverage,32
2023-01-08,beverage,34
2023-01-15,beverage,34
2023-01-22,beverage,37
2023-01-29,beverage,37
2023-02-05,beverage,37
2023-02-12,beverage,37
2023-02-19,beverage,35
2023-02-26,beverage,36
2023-03-05,beverage,35
2023-03-12,beverage,35
2023-03-19,beverage,36
2023-03-26,beverage,38
2023-04-02,beverage,39
2023-04-09,beverage,38
2023-04-16,beverage,39
2023-04-23,beverage,38
2023-04-30,beverage,39
2023-05-07,beverage,37
2023-05-14,beverage,38
2023-05-21,beverage,41
2023-05-28,beverage,43
