week,beverage,dessert,drink,fast food,food delivery,organic food,snack,cluster,month
2021-09-05,37,57,53,58,91,7,31,0,9
2021-09-12,35,53,52,54,87,8,31,0,9
2021-09-19,36,55,49,53,90,7,30,0,9
2021-09-26,33,52,48,55,90,8,30,0,9
2021-10-03,32,52,49,53,84,7,30,0,10
2021-10-10,31,60,50,54,90,8,31,0,10
2021-10-17,31,56,51,51,88,7,31,0,10
2021-10-24,33,56,49,52,87,7,32,0,10
2021-10-31,32,56,48,56,85,7,29,0,10
2021-11-07,33,63,53,50,85,9,31,0,11
2021-11-14,35,68,51,50,86,7,32,0,11
2021-11-21,37,83,51,63,81,6,26,0,11
2021-11-28,34,52,51,48,84,7,31,0,11
2021-12-05,34,56,50,47,83,7,34,0,12
2021-12-12,35,63,55,48,87,7,33,0,12
2021-12-19,40,80,56,77,97,6,30,0,12
2021-12-26,31,61,62,67,100,6,27,0,12
2022-01-02,29,52,57,46,95,7,34,0,1
2022-01-09,31,54,58,45,89,8,35,0,1
2022-01-16,29,52,53,41,79,7,32,0,1
2022-01-23,32,55,56,42,78,9,35,0,1
2022-01-30,38,58,55,44,88,8,36,0,1
2022-02-06,36,63,60,46,75,9,45,0,2
2022-02-13,36,62,57,45,80,8,38,0,2
2022-02-20,37,62,58,51,84,9,35,0,2
2022-02-27,34,59,59,50,80,9,38,0,2
2022-03-06,38,62,60,48,81,8,35,0,3
2022-03-13,35,70,65,53,78,8,33,0,3
2022-03-20,38,65,56,53,76,9,35,0,3
2022-03-27,37,61,58,50,77,10,36,0,3
2022-04-03,37,64,54,50,74,10,41,0,4
2022-04-10,38,81,56,54,77,9,38,0,4
2022-04-17,38,63,61,53,71,10,37,0,4
2022-04-24,38,58,59,52,73,11,38,0,4
2022-05-01,40,67,60,50,76,10,37,0,5
2022-05-08,39,62,63,50,72,10,35,0,5
2022-05-15,40,60,65,51,69,9,35,0,5
2022-05-22,40,62,60,52,72,8,35,0,5
2022-05-29,41,61,64,55,78,8,34,0,5
2022-06-05,38,61,66,55,74,8,34,0,6
2022-06-12,40,66,64,58,75,7,33,0,6
2022-06-19,42,68,67,57,75,7,35,0,6
2022-06-26,43,69,67,57,75,7,35,0,6
2022-07-03,43,69,68,63,80,7,35,0,7
2022-07-10,42,66,71,60,76,7,36,0,7
2022-07-17,41,65,68,57,77,7,35,0,7
2022-07-24,39,63,66,58,75,7,35,0,7
2022-07-31,39,62,64,57,75,6,36,0,7
2022-08-07,40,68,65,56,72,7,37,0,8
2022-08-14,41,62,64,55,70,7,38,0,8
2022-08-21,37,60,61,50,70,8,38,0,8
2022-08-28,39,57,59,53,69,7,41,0,8
2022-09-04,37,61,55,55,67,8,38,0,9
2022-09-11,37,57,57,51,67,8,38,0,9
2022-09-18,35,55,57,52,64,8,37,0,9
2022-09-25,33,55,57,51,67,8,34,0,9
2022-10-02,35,57,58,52,66,8,36,0,10
2022-10-09,34,60,56,52,63,8,36,0,10
2022-10-16,34,60,56,49,59,8,35,0,10
2022-10-23,35,57,58,49,63,8,38,0,10
2022-10-30,36,57,57,48,63,8,34,0,10
2022-11-06,35,61,50,45,63,7,33,0,11
2022-11-13,35,74,59,46,60,8,33,0,11
2022-11-20,37,88,61,58,64,6,29,0,11
2022-11-27,33,53,53,43,61,8,35,0,11
2022-12-04,36,60,57,46,64,9,42,0,12
2022-12-11,37,67,59,45,68,8,41,0,12
2022-12-18,38,79,61,46,73,6,36,0,12
2022-12-25,35,71,70,77,72,6,31,0,12
2023-01-01,32,57,62,52,69,7,34,0,1
2023-01-08,34,55,60,43,60,8,36,0,1
2023-01-15,34,58,65,45,60,8,37,0,1
2023-01-22,37,64,61,44,61,9,40,0,1
2023-01-29,37,60,66,46,64,9,39,0,1
2023-02-05,37,66,64,46,63,10,44,0,2
2023-02-12,37,64,65,46,62,9,37,0,2
2023-02-19,35,62,67,51,63,9,37,0,2
2023-02-26,36,60,66,51,63,10,38,0,2
2023-03-05,35,62,68,47,60,9,36,0,3
2023-03-12,35,68,70,49,61,8,38,0,3
2023-03-19,36,62,68,51,57,9,39,0,3
2023-03-26,38,66,66,53,59,9,38,0,3
2023-04-02,39,81,67,51,60,8,35,0,4
2023-04-09,38,62,66,53,53,9,35,0,4
2023-04-16,39,61,69,48,55,9,38,0,4
2023-04-23,38,63,70,48,58,9,38,0,4
2023-04-30,39,62,67,48,58,9,39,0,4
2023-05-07,37,63,66,48,56,9,38,0,5
2023-05-14,38,67,68,51,57,9,36,0,5
2023-05-21,41,68,71,54,57,8,37,0,5
2023-05-28,43,69,70,56,59,7,34,0,5
2023-06-04,39,61,68,57,57,7,37,0,6
2023-06-11,43,67,69,59,62,7,36,0,6
2023-06-18,42,64,71,55,61,7,36,0,6
2023-06-25,42,74,69,59,62,7,36,0,6
2023-07-02,43,79,76,62,62,7,38,0,7
2023-07-09,42,65,72,56,59,7,38,0,7
2023-07-16,42,62,67,54,57,7,37,0,7
2023-07-23,40,65,69,57,60,7,37,0,7
2023-07-30,40,62,65,54,58,7,36,0,7
2023-08-06,39,65,67,52,58,7,39,0,8
2023-08-13,38,61,64,51,54,7,39,0,8
2023-08-20,37,60,64,49,55,7,38,0,8
2023-08-27,36,61,62,50,51,8,37,0,8
2023-09-03,36,62,62,50,52,8,38,0,9
2023-09-10,36,56,63,50,50,9,38,0,9
2023-09-17,36,58,62,50,50,9,37,0,9
2023-09-24,35,61,61,48,49,9,38,0,9
2023-10-01,34,60,61,50,48,9,37,0,10
2023-10-08,35,62,63,49,49,8,35,0,10
2023-10-15,35,59,58,48,48,9,37,0,10
2023-10-22,36,60,61,48,49,8,37,0,10
2023-10-29,35,56,57,47,51,9,35,0,10
2023-11-05,36,65,59,47,54,8,38,0,11
2023-11-12,36,79,60,47,50,9,37,0,11
