keyword,category,recency_days,freq,avg_score,max_score
portillo's dr pepper dessert,dessert,0,16,3741,4550
wellhealthorganic organic food benefits,organic food,0,16,1384,4950
where to buy organic food,organic food,0,16,1244,1600
rapid kl train food beverage policy,beverage,0,15,4173,5050
silk beverage listeria settlement,beverage,0,14,23425,25950
organic food delivery,organic food,0,14,332,400
costco key lime dessert cups,dessert,0,13,8050,9100
little debbie new snack release,snack,0,13,6265,7450
shake up your snack routine,snack,0,13,6000,6700
fast food restuarants,fast food,0,13,335,350
aldi game day snack container,snack,0,12,15050,17350
cheez-it coors light snack,snack,1,12,7038,8200
david protein frozen dessert pints,dessert,0,11,3118,3400
cardiologist energy drink warning,drink,1,11,964,1100
uk fast food in america,fast food,6,10,650,750
monster beverage aktie,beverage,0,10,470,550
dairy queen fall dessert collection,dessert,0,9,3617,4050
new nothing bundt cakes dessert,dessert,5,8,3200,4900
new spicy cheetos snack flavor,snack,6,8,2819,3350
rac drink driving alcolock proposal,drink,0,8,1362,1400
limerick drink,drink,1,8,494,500
popular beverage brand nyt,beverage,13,7,6086,7300
publix tiktok dessert trend,dessert,6,7,2750,2800
buy organic food,organic food,0,7,307,350
prince louis favorite snack,snack,13,6,12533,14000
mcdonalds redbull drink,drink,6,6,900,1300
faa preflight beverage restrictions,beverage,6,5,1530,1700
olivia rodrigo taco bell drink collaboration,drink,0,5,1430,1500
monster beverage aktiensplit,beverage,13,4,2950,3200
mcdonald's beverage station removal,beverage,20,4,2925,4350
did dolly parton drink alcohol,drink,5,4,325,350
little debbie new breakfast snack,snack,0,3,5650,6700
weehawken restaurant dessert mistake,dessert,0,3,2250,2300
am i ight if i drink evil water,drink,18,3,1433,1700
magnum fruit dessert,dessert,20,3,1067,1200
makkee dessert,dessert,20,3,533,600
starbucks new aerocano drink debut,drink,0,3,300,300
big chicken a fast food conspiracy,fast food,22,2,4425,4550
big a fast food conspiracy,fast food,22,2,4100,5250
trader joe spicy chocolate snack,snack,22,2,2075,2100
big chicken a fast food conspiracy netflix,fast food,22,2,1500,1900
unicorn drink starbucks,drink,10,2,1025,1050
fast food discount effectiveness,fast food,22,2,750,750
which popular snack was invented by italian monks?,snack,22,2,575,700
reese's dessert at culver's,dessert,22,2,425,450
a and w energy drink launch,drink,22,2,325,350
piston cup drink cup,drink,0,2,300,300
universal theme parks snack restrictions,snack,0,1,7650,7650
hot french beverage nyt,beverage,22,1,3250,3250
hershey's marinela snack cakes,snack,23,1,2600,2600
sam's club new snack releases,snack,25,1,2350,2350
4th of july dessert ideas,dessert,10,1,2000,2000
faa pre-departure beverage pushback rule,beverage,9,1,1850,1850
erling haaland kurze haare,beverage,5,1,1700,1700
beverage with orange lavaburst,beverage,9,1,1650,1650
pfarrer andreas unfried oberursel,beverage,5,1,1500,1500
starbucks unicorn drink,drink,22,1,1250,1250
unicorn starbucks drink,drink,18,1,1250,1250
costco september snack finds,snack,7,1,1150,1150
avocado organic food львів,organic food,22,1,900,900
hardee's fast food industry comeback,fast food,10,1,800,800
american airlines new snack options,snack,7,1,700,700
dessert time doncaster,dessert,22,1,700,700
playstation blackout,beverage,5,1,650,650
snack shack dónde ver,snack,7,1,650,650
sommer dessert,dessert,24,1,500,500
dunkin iced beverage buckets,beverage,22,1,450,450
manpuku-shop.com food and beverage industry trends,beverage,22,1,300,300
