keyword,category,R,F,M,RFM_sum,segment
aldi game day snack container,snack,3,3,3,9,핵심 트렌드
costco key lime dessert cups,dessert,3,3,3,9,핵심 트렌드
david protein frozen dessert pints,dessert,3,3,3,9,핵심 트렌드
dairy queen fall dessert collection,dessert,3,3,3,9,핵심 트렌드
shake up your snack routine,snack,3,3,3,9,핵심 트렌드
silk beverage listeria settlement,beverage,3,3,3,9,핵심 트렌드
portillo's dr pepper dessert,dessert,3,3,3,9,핵심 트렌드
little debbie new snack release,snack,3,3,3,9,핵심 트렌드
rapid kl train food beverage policy,beverage,3,3,3,9,핵심 트렌드
new nothing bundt cakes dessert,dessert,2,3,3,8,일반 유지
wellhealthorganic organic food benefits,organic food,3,3,2,8,핵심 트렌드
new spicy cheetos snack flavor,snack,2,3,3,8,일반 유지
little debbie new breakfast snack,snack,3,2,3,8,급상승 신규
cheez-it coors light snack,snack,2,3,3,8,일반 유지
where to buy organic food,organic food,3,3,2,8,핵심 트렌드
rac drink driving alcolock proposal,drink,3,3,2,8,핵심 트렌드
monster beverage aktie,beverage,3,3,1,7,일반 유지
monster beverage aktiensplit,beverage,2,2,3,7,일반 유지
olivia rodrigo taco bell drink collaboration,drink,3,2,2,7,일반 유지
buy organic food,organic food,3,3,1,7,일반 유지
fast food restuarants,fast food,3,3,1,7,일반 유지
universal theme parks snack restrictions,snack,3,1,3,7,급상승 신규
popular beverage brand nyt,beverage,2,2,3,7,일반 유지
publix tiktok dessert trend,dessert,2,2,3,7,일반 유지
weehawken restaurant dessert mistake,dessert,3,2,2,7,일반 유지
organic food delivery,organic food,3,3,1,7,일반 유지
cardiologist energy drink warning,drink,2,3,2,7,일반 유지
starbucks new aerocano drink debut,drink,3,2,1,6,일반 유지
uk fast food in america,fast food,2,3,1,6,일반 유지
prince louis favorite snack,snack,1,2,3,6,휴면(과거 반복)
limerick drink,drink,2,3,1,6,일반 유지
faa preflight beverage restrictions,beverage,2,2,2,6,일반 유지
big a fast food conspiracy,fast food,1,2,3,6,휴면(과거 반복)
big chicken a fast food conspiracy,fast food,1,2,3,6,휴면(과거 반복)
piston cup drink cup,drink,3,2,1,6,일반 유지
mcdonald's beverage station removal,beverage,1,2,3,6,휴면(과거 반복)
erling haaland kurze haare,beverage,2,1,2,5,일반 유지
am i ight if i drink evil water,drink,1,2,2,5,휴면(과거 반복)
4th of july dessert ideas,dessert,2,1,2,5,일반 유지
costco september snack finds,snack,2,1,2,5,일반 유지
did dolly parton drink alcohol,drink,2,2,1,5,일반 유지
trader joe spicy chocolate snack,snack,1,2,2,5,휴면(과거 반복)
pfarrer andreas unfried oberursel,beverage,2,1,2,5,일반 유지
unicorn drink starbucks,drink,2,1,2,5,일반 유지
mcdonalds redbull drink,drink,2,2,1,5,일반 유지
faa pre-departure beverage pushback rule,beverage,2,1,2,5,일반 유지
big chicken a fast food conspiracy netflix,fast food,1,2,2,5,휴면(과거 반복)
beverage with orange lavaburst,beverage,2,1,2,5,일반 유지
magnum fruit dessert,dessert,1,2,2,5,휴면(과거 반복)
hot french beverage nyt,beverage,1,1,3,5,단발성 소멸
a and w energy drink launch,drink,1,2,1,4,휴면(과거 반복)
avocado organic food львів,organic food,1,1,2,4,단발성 소멸
reese's dessert at culver's,dessert,1,2,1,4,휴면(과거 반복)
playstation blackout,beverage,2,1,1,4,일반 유지
sam's club new snack releases,snack,1,1,2,4,단발성 소멸
makkee dessert,dessert,1,2,1,4,휴면(과거 반복)
fast food discount effectiveness,fast food,1,2,1,4,휴면(과거 반복)
american airlines new snack options,snack,2,1,1,4,일반 유지
hardee's fast food industry comeback,fast food,2,1,1,4,일반 유지
hershey's marinela snack cakes,snack,1,1,2,4,단발성 소멸
unicorn starbucks drink,drink,1,1,2,4,단발성 소멸
starbucks unicorn drink,drink,1,1,2,4,단발성 소멸
snack shack dónde ver,snack,2,1,1,4,일반 유지
dessert time doncaster,dessert,1,1,1,3,단발성 소멸
manpuku-shop.com food and beverage industry trends,beverage,1,1,1,3,단발성 소멸
dunkin iced beverage buckets,beverage,1,1,1,3,단발성 소멸
sommer dessert,dessert,1,1,1,3,단발성 소멸
which popular snack was invented by italian monks?,snack,1,1,1,3,단발성 소멸
